"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,18795,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,1,1,1,1,2,15188,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,1,2,2,2,22781,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,1,1,1,1,2,14041,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,16030,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,1,1,1,1,1,1,1,21866,2019
1,4,2,2,1,2,2,2,60,NA,1,1,1,1,1,1,1,1,33063,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,1,NA,NA,NA,NA,14578,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,24608,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,1,1,1,1,1,15907,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,23860,2019
1,4,2,2,1,2,2,2,30,NA,1,1,1,1,1,1,1,1,13535,2019
5,4,2,2,2,1,1,2,40,NA,1,1,1,1,1,1,1,1,42477,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,2,1,1,2,12220,2019
5,4,2,2,2,1,2,2,40,NA,2,1,1,1,2,1,1,2,18329,2019
4,4,2,2,1,1,2,2,30,NA,2,1,1,1,1,1,1,2,7846,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,2,2,2,11333,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,42800,2019
1,5,2,2,1,2,2,2,30,NA,2,2,2,2,2,2,2,2,19480,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,19563,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,1,1,1,1,1,25383,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,1,2,14267,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,16922,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,7003,2019
2,4,2,2,2,2,1,2,30,NA,2,1,2,1,1,1,1,1,13294,2019
4,1,2,1,2,2,2,2,40,NA,2,1,1,1,1,1,1,2,6030,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,1,1,1,1,1,23849,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,1,1,1,1,1,1,21804,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,1,1,1,1,1,23403,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,1,1,2,19287,2019
2,4,2,2,2,1,2,2,30,NA,1,1,1,1,1,1,1,1,7479,2019
4,2,2,1,2,2,2,2,45,NA,2,2,2,1,1,1,1,1,15497,2019
3,4,2,2,2,1,1,2,30,NA,2,1,1,1,1,1,1,2,14655,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,2,28325,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,2,47369,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,1,1,1,1,13857,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,6929,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,1,1,1,1,1,13857,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,25162,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,2,29446,2019
3,2,2,1,2,2,2,2,30,NA,2,2,2,1,1,1,1,1,33031,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,45555,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,1,1,1,1,1,14356,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,2,6540,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,2,2,1,1,15804,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,1,1,1,2,28711,2019
4,3,2,1,2,1,1,2,60,NA,1,1,1,1,1,1,1,1,15323,2019
2,3,2,2,2,1,1,2,40,NA,1,1,1,1,1,1,1,1,31350,2019
4,3,2,1,2,1,1,2,120,NA,1,1,1,1,1,1,1,NA,27858,2019
1,5,2,2,1,2,2,2,30,NA,2,2,2,2,2,1,1,2,19888,2019
1,4,2,2,2,2,1,2,30,NA,2,2,2,1,1,1,1,1,52216,2019
